frame,track_id,centroid_x_m,centroid_y_m,bottom_x_m,bottom_y_m,delta_x,delta_y,alt_cx_m,alt_cy_m,delta_alt_x,delta_alt_y
1,1,0.55,0.376,3.459,2.762,0.0,0.0,-1.945,-1.565,0.0,0.0
1,2,-10.894,-18.848,-2.332,-7.64,0.0,0.0,-26.146,-38.798,0.0,0.0
2,1,0.397,0.03,3.222,2.471,-0.152,-0.346,-2.269,-1.91,-0.324,-0.345
2,2,-12.139,-20.602,-3.01,-8.549,-1.245,-1.754,-27.174,-40.13,-1.029,-1.332
3,1,0.206,-0.318,3.225,2.004,-0.191,-0.348,-2.816,-2.812,-0.547,-0.902
3,2,-13.81,-23.037,-4.73,-10.939,-1.672,-2.436,-29.136,-43.24,-1.962,-3.11
4,1,-0.013,-0.655,3.179,1.905,-0.22,-0.337,-3.478,-3.765,-0.661,-0.952
4,2,-16.622,-26.974,-5.711,-12.648,-2.812,-3.937,-28.206,-42.394,0.93,0.847
5,1,-0.498,-1.17,2.742,1.833,-0.484,-0.514,-4.152,-4.391,-0.674,-0.626
5,2,-17.139,-27.792,-6.413,-13.629,-0.517,-0.818,-28.75,-43.257,-0.544,-0.863
6,1,-0.693,-1.455,2.8,1.663,-0.196,-0.285,-4.729,-5.354,-0.577,-0.963
6,2,-16.374,-26.943,-6.329,-13.696,0.765,0.85,-30.309,-45.596,-1.559,-2.339
7,1,-1.031,-1.954,2.823,1.614,-0.337,-0.499,-5.901,-6.453,-1.172,-1.098
7,2,-13.199,-22.801,-3.516,-9.673,3.175,4.142,-25.158,-38.904,5.151,6.693
8,1,-1.417,-2.536,2.386,1.18,-0.386,-0.582,-5.837,-6.659,0.064,-0.206
8,2,-14.231,-24.393,-4.043,-10.537,-1.032,-1.592,-26.346,-40.824,-1.189,-1.92
9,1,-1.628,-2.893,2.203,0.859,-0.211,-0.357,-6.643,-7.469,-0.806,-0.81
9,2,-13.366,-23.32,-3.294,-9.527,0.865,1.073,-23.639,-37.217,2.708,3.607
10,1,-1.629,-3.132,2.104,0.666,-0.002,-0.24,-6.78,-7.912,-0.138,-0.443
10,2,-11.837,-21.349,-2.99,-9.116,1.529,1.971,-26.689,-41.7,-3.05,-4.482
11,1,-1.848,-3.557,1.923,0.438,-0.219,-0.425,-7.339,-8.756,-0.559,-0.845
11,2,-11.52,-20.994,-2.694,-8.734,0.317,0.355,-31.975,-49.1,-5.286,-7.4
12,1,-2.078,-3.957,1.703,0.119,-0.23,-0.4,-6.985,-8.636,0.354,0.121
12,2,-11.619,-21.204,-3.006,-9.098,-0.099,-0.21,-28.132,-44.012,3.843,5.087
13,1,-2.446,-4.485,1.87,-0.395,-0.368,-0.528,-8.176,-10.447,-1.191,-1.812
13,2,-11.617,-21.254,-2.906,-9.027,0.002,-0.051,-28.961,-45.246,-0.829,-1.234
14,1,-2.48,-4.813,1.966,-0.325,-0.034,-0.328,-8.195,-10.682,-0.019,-0.235
14,2,-11.255,-20.862,-2.95,-9.16,0.362,0.392,-32.052,-49.814,-3.091,-4.568
15,1,-2.536,-4.945,2.051,-0.239,-0.056,-0.131,-11.045,-13.693,-2.85,-3.011
15,2,-10.921,-20.454,-3.026,-9.259,0.334,0.409,-31.582,-49.29,0.47,0.524
16,1,-2.331,-4.877,1.876,-0.343,0.205,0.068,-8.415,-11.097,2.63,2.596
