frame,track_id,centroid_x_m,centroid_y_m,bottom_x_m,bottom_y_m,delta_x,delta_y,alt_cx_m,alt_cy_m,delta_alt_x,delta_alt_y
61,1,0.806,6.106,0.886,6.154,0.0,0.0,0.776,6.092,0.0,0.0
64,2,0.832,6.108,0.928,6.171,0.0,0.0,0.807,6.099,0.0,0.0
64,1,0.835,6.113,0.886,6.154,0.029,0.006,0.809,6.106,0.034,0.014
65,2,0.738,6.055,0.953,6.181,-0.094,-0.053,0.634,5.999,-0.174,-0.1
65,1,0.84,6.114,0.892,6.161,0.004,0.001,0.807,6.105,-0.002,-0.001
66,2,0.788,6.078,0.943,6.179,0.05,0.023,0.717,6.046,0.083,0.046
67,2,0.683,6.022,0.987,6.193,-0.105,-0.056,0.592,5.974,-0.125,-0.071
68,2,0.627,5.986,0.994,6.197,-0.056,-0.036,0.493,5.915,-0.099,-0.06
69,2,0.679,6.012,0.994,6.183,0.052,0.026,0.612,5.974,0.119,0.06
70,2,0.633,5.977,0.965,6.163,-0.046,-0.034,0.514,5.913,-0.098,-0.061
71,2,0.682,6.004,0.978,6.159,0.049,0.026,0.56,5.937,0.046,0.024
72,2,0.679,5.999,0.993,6.168,-0.002,-0.005,0.581,5.946,0.02,0.009
72,1,0.834,6.085,1.001,6.172,-0.006,-0.029,0.799,6.072,-0.008,-0.033
73,1,0.716,6.017,1.019,6.176,-0.118,-0.068,0.633,5.971,-0.166,-0.101
74,1,0.73,6.021,1.031,6.19,0.014,0.004,0.601,5.95,-0.032,-0.022
75,1,0.734,6.019,1.028,6.178,0.004,-0.003,0.665,5.98,0.064,0.031
76,1,0.745,6.022,1.039,6.177,0.01,0.003,0.649,5.969,-0.016,-0.011
77,1,0.766,6.031,1.034,6.17,0.021,0.01,0.691,5.99,0.042,0.02
78,1,0.794,6.046,1.065,6.185,0.028,0.014,0.711,6.0,0.019,0.01
79,1,0.785,6.037,1.08,6.193,-0.009,-0.008,0.739,6.008,0.028,0.008
80,1,0.736,6.007,1.091,6.192,-0.048,-0.031,0.704,5.987,-0.035,-0.02
81,1,0.703,5.984,1.092,6.19,-0.033,-0.023,0.672,5.973,-0.032,-0.015
82,1,0.715,5.988,1.103,6.189,0.012,0.005,0.624,5.943,-0.047,-0.03
82,2,0.774,6.01,1.11,6.193,0.095,0.011,0.639,5.935,0.058,-0.011
83,2,0.713,5.976,1.089,6.18,-0.061,-0.033,0.672,5.954,0.033,0.019
83,1,0.615,5.936,1.081,6.176,-0.1,-0.052,0.469,5.859,-0.155,-0.084
84,1,0.75,5.998,1.107,6.184,0.135,0.062,0.726,5.984,0.256,0.125
85,2,0.851,6.043,1.13,6.194,0.139,0.067,0.766,5.993,0.094,0.039
85,1,0.833,6.038,1.135,6.186,0.083,0.04,0.806,6.023,0.081,0.039
86,1,0.802,6.011,1.157,6.199,-0.031,-0.028,0.765,5.996,-0.041,-0.027
87,1,0.801,6.007,1.144,6.188,-0.001,-0.003,0.77,5.99,0.004,-0.005
88,1,0.823,6.015,1.182,6.207,0.022,0.008,0.809,6.009,0.039,0.019
89,1,0.833,6.014,1.155,6.187,0.01,-0.001,0.791,5.99,-0.018,-0.019
90,1,0.867,6.031,1.162,6.192,0.034,0.017,0.831,6.015,0.04,0.025
91,1,0.901,6.041,1.203,6.205,0.034,0.011,0.846,6.013,0.015,-0.002
92,2,0.883,6.026,1.212,6.207,0.031,-0.017,0.807,5.984,0.041,-0.01
93,2,0.899,6.033,1.243,6.218,0.016,0.007,0.859,6.009,0.053,0.025
94,2,0.933,6.049,1.258,6.224,0.035,0.015,0.944,6.054,0.085,0.045
95,2,0.94,6.048,1.253,6.217,0.007,-0.001,0.912,6.036,-0.032,-0.019
96,2,0.96,6.055,1.275,6.227,0.02,0.008,0.908,6.024,-0.004,-0.011
97,1,0.946,6.041,1.301,6.232,0.045,-0.0,0.904,6.014,0.058,0.001
98,1,0.951,6.04,1.301,6.232,0.005,-0.001,0.932,6.029,0.028,0.015
99,1,0.987,6.054,1.305,6.227,0.036,0.014,0.939,6.029,0.007,0.0
100,2,0.978,6.041,1.311,6.231,0.018,-0.015,0.943,6.022,0.035,-0.002
101,2,0.99,6.048,1.343,6.24,0.012,0.008,0.961,6.03,0.017,0.008
102,2,0.949,6.014,1.323,6.228,-0.041,-0.034,0.844,5.952,-0.117,-0.079
102,1,0.963,6.028,1.32,6.233,-0.024,-0.026,0.821,5.946,-0.118,-0.083
103,2,0.975,6.028,1.364,6.238,0.026,0.014,0.955,6.015,0.112,0.063
104,2,0.985,6.025,1.367,6.247,0.01,-0.003,0.957,6.014,0.002,-0.0
105,2,1.007,6.031,1.379,6.244,0.023,0.006,0.947,5.998,-0.009,-0.016
106,2,0.988,6.014,1.363,6.227,-0.019,-0.017,0.914,5.972,-0.033,-0.026
107,2,1.012,6.021,1.406,6.232,0.024,0.007,0.927,5.967,0.012,-0.005
108,2,1.022,6.021,1.404,6.235,0.01,0.001,0.962,5.983,0.035,0.016
109,2,1.057,6.035,1.429,6.24,0.035,0.013,0.996,5.996,0.034,0.012
110,2,1.075,6.04,1.45,6.249,0.018,0.005,0.999,5.993,0.003,-0.003
111,2,1.066,6.033,1.452,6.247,-0.009,-0.007,1.033,6.012,0.034,0.019
112,2,1.081,6.037,1.46,6.248,0.015,0.004,1.103,6.052,0.07,0.04
112,1,0.753,6.083,0.935,6.192,-0.211,0.055,0.661,6.033,-0.16,0.087
113,2,1.1,6.033,1.507,6.26,0.019,-0.004,1.067,6.014,-0.036,-0.038
113,3,0.757,6.081,0.954,6.196,0.0,0.0,0.705,6.052,0.0,0.0
113,1,0.798,6.106,0.98,6.218,0.045,0.023,0.739,6.075,0.078,0.042
114,2,1.096,6.026,1.513,6.264,-0.004,-0.007,1.05,5.996,-0.017,-0.018
114,3,0.786,6.097,0.938,6.187,0.029,0.016,0.748,6.076,0.043,0.024
115,2,1.108,6.028,1.507,6.26,0.013,0.002,1.08,6.011,0.03,0.014
115,3,0.7,6.044,0.934,6.178,-0.086,-0.053,0.581,5.977,-0.167,-0.1
115,1,0.87,6.142,0.976,6.209,0.072,0.036,0.866,6.143,0.128,0.068
116,2,1.122,6.03,1.513,6.264,0.014,0.002,1.074,6.005,-0.005,-0.006
116,4,0.749,6.073,0.98,6.203,0.0,0.0,0.694,6.042,0.0,0.0
116,1,0.878,6.142,0.985,6.21,0.008,0.0,0.836,6.122,-0.03,-0.021
116,3,0.479,5.905,0.513,5.939,-0.221,-0.138,0.463,5.901,-0.118,-0.076
117,2,1.13,6.028,1.552,6.26,0.007,-0.002,1.115,6.02,0.041,0.015
117,1,0.873,6.139,0.978,6.206,-0.004,-0.003,0.828,6.117,-0.008,-0.005
117,4,0.712,6.048,0.987,6.208,-0.037,-0.025,0.657,6.019,-0.037,-0.023
118,2,1.155,6.038,1.512,6.253,0.026,0.01,1.059,5.984,-0.056,-0.036
118,4,0.736,6.064,1.01,6.22,0.024,0.017,0.673,6.029,0.016,0.01
118,1,0.929,6.173,0.999,6.221,0.056,0.033,0.917,6.17,0.089,0.052
119,2,1.167,6.035,1.586,6.275,0.011,-0.004,1.122,6.01,0.063,0.026
119,4,0.771,6.083,1.026,6.226,0.035,0.019,0.693,6.041,0.021,0.012
120,2,1.17,6.031,1.583,6.266,0.003,-0.004,1.08,5.973,-0.042,-0.038
120,4,0.768,6.082,1.019,6.222,-0.002,-0.002,0.682,6.033,-0.011,-0.007
121,2,1.19,6.036,1.588,6.272,0.021,0.006,1.106,5.985,0.026,0.012
121,4,0.695,6.038,1.022,6.217,-0.074,-0.044,0.574,5.969,-0.108,-0.065
122,2,1.189,6.029,1.619,6.278,-0.001,-0.007,1.159,6.012,0.053,0.027
122,4,0.753,6.069,1.013,6.215,0.058,0.032,0.597,5.985,0.023,0.016
123,2,1.207,6.036,1.613,6.285,0.018,0.007,1.151,6.004,-0.008,-0.008
123,4,0.694,6.033,1.018,6.208,-0.058,-0.036,0.556,5.955,-0.042,-0.03
